country_region_code,country_region,sub_region_1,sub_region_2,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New York,New York County,36061,2020-02-15,2,-5,0,-1,0,0
US,United States,New York,New York County,36061,2020-02-16,6,-2,4,1,-2,0
US,United States,New York,New York County,36061,2020-02-17,-5,-12,13,-25,-51,10
US,United States,New York,New York County,36061,2020-02-18,0,-2,5,-5,-6,2
US,United States,New York,New York County,36061,2020-02-19,2,-1,15,-1,-4,1
US,United States,New York,New York County,36061,2020-02-20,3,-1,6,-1,-5,1
US,United States,New York,New York County,36061,2020-02-21,-2,-5,-7,-4,-5,2
US,United States,New York,New York County,36061,2020-02-22,6,4,25,5,7,-1
US,United States,New York,New York County,36061,2020-02-23,0,2,18,1,2,-1
US,United States,New York,New York County,36061,2020-02-24,1,1,17,1,4,0
US,United States,New York,New York County,36061,2020-02-25,-3,-3,3,-1,3,1
US,United States,New York,New York County,36061,2020-02-26,-1,0,4,-1,3,0
US,United States,New York,New York County,36061,2020-02-27,1,2,6,0,3,0
US,United States,New York,New York County,36061,2020-02-28,0,1,-6,0,3,0
US,United States,New York,New York County,36061,2020-02-29,1,2,-2,-1,6,0
US,United States,New York,New York County,36061,2020-03-01,-3,2,-7,-3,1,0
US,United States,New York,New York County,36061,2020-03-02,3,6,17,-3,4,0
US,United States,New York,New York County,36061,2020-03-03,0,6,5,-1,3,0
US,United States,New York,New York County,36061,2020-03-04,3,9,13,-3,2,0
US,United States,New York,New York County,36061,2020-03-05,2,10,14,-2,2,0
US,United States,New York,New York County,36061,2020-03-06,-8,-3,-18,-4,-1,3
US,United States,New York,New York County,36061,2020-03-07,1,9,8,-2,7,0
US,United States,New York,New York County,36061,2020-03-08,-5,3,11,-4,0,0
US,United States,New York,New York County,36061,2020-03-09,0,6,34,-7,-3,2
US,United States,New York,New York County,36061,2020-03-10,-6,7,12,-11,-7,4
US,United States,New York,New York County,36061,2020-03-11,-10,7,9,-15,-12,5
US,United States,New York,New York County,36061,2020-03-12,-19,20,-4,-20,-18,8
US,United States,New York,New York County,36061,2020-03-13,-30,12,-18,-30,-26,10
US,United States,New York,New York County,36061,2020-03-14,-37,7,-14,-35,-9,5
US,United States,New York,New York County,36061,2020-03-15,-46,-2,-28,-42,-17,7
US,United States,New York,New York County,36061,2020-03-16,-48,-4,-40,-48,-48,18
US,United States,New York,New York County,36061,2020-03-17,-61,-9,-40,-55,-55,21
US,United States,New York,New York County,36061,2020-03-18,-65,-15,-38,-59,-58,22
US,United States,New York,New York County,36061,2020-03-19,-70,-25,-51,-63,-62,25
US,United States,New York,New York County,36061,2020-03-20,-71,-21,-49,-64,-63,26
US,United States,New York,New York County,36061,2020-03-21,-76,-23,-51,-67,-41,15
US,United States,New York,New York County,36061,2020-03-22,-81,-38,-66,-73,-48,16
US,United States,New York,New York County,36061,2020-03-23,-83,-57,-79,-77,-75,32
US,United States,New York,New York County,36061,2020-03-24,-79,-39,-56,-73,-74,29
US,United States,New York,New York County,36061,2020-03-25,-82,-48,-70,-75,-75,31
US,United States,New York,New York County,36061,2020-03-26,-81,-42,-56,-75,-75,31
US,United States,New York,New York County,36061,2020-03-27,-81,-45,-59,-75,-74,32
US,United States,New York,New York County,36061,2020-03-28,-86,-50,-77,-77,-56,20
US,United States,New York,New York County,36061,2020-03-29,-86,-51,-79,-78,-57,19
US,United States,New York,New York County,36061,2020-03-30,-82,-50,-68,-77,-77,31
US,United States,New York,New York County,36061,2020-03-31,-83,-49,-67,-78,-78,32
US,United States,New York,New York County,36061,2020-04-01,-82,-46,-62,-78,-77,31
US,United States,New York,New York County,36061,2020-04-02,-84,-47,-67,-79,-78,33
US,United States,New York,New York County,36061,2020-04-03,-85,-50,-79,-79,-78,34
US,United States,New York,New York County,36061,2020-04-04,-85,-43,-62,-77,-57,19
US,United States,New York,New York County,36061,2020-04-05,-85,-47,-67,-78,-56,18
US,United States,New York,New York County,36061,2020-04-06,-83,-48,-61,-79,-77,31
US,United States,New York,New York County,36061,2020-04-07,-85,-47,-60,-80,-78,32
US,United States,New York,New York County,36061,2020-04-08,-87,-49,-65,-81,-79,32
US,United States,New York,New York County,36061,2020-04-09,-87,-51,-72,-81,-80,34
US,United States,New York,New York County,36061,2020-04-10,-88,-50,-77,-81,-79,35
US,United States,New York,New York County,36061,2020-04-11,-86,-42,-61,-78,-55,19
US,United States,New York,New York County,36061,2020-04-12,-88,-51,-62,-78,-56,18
US,United States,New York,New York County,36061,2020-04-13,-89,-63,-78,-83,-79,34
US,United States,New York,New York County,36061,2020-04-14,-85,-45,-60,-79,-77,31
US,United States,New York,New York County,36061,2020-04-15,-85,-47,-64,-80,-77,32
US,United States,New York,New York County,36061,2020-04-16,-86,-46,-67,-80,-77,32
